NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
830110734,servicio de ingenieria transito y tecologia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","8,299",servicios,0.08,0.0,0.06,0.04,0.02,2023
830137526,poliempak sas,supersociedades,bogotá - cundinamarca,cundinamarca,mosquera-cundinamarca-cundinamarca,"2,229",manufactura,0.08,0.01,0.05,0.03,0.02,2023
860033653,impofer importadora de ferreteria sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,663",comercio,0.08,0.01,0.1,0.02,0.08,2023
800214589,agroindustriales cañavetalejo sas,supersociedades,costa pacífica,valle,cali-valle,"4,530",comercio,0.08,0.0,0.06,0.03,0.03,2023
811012106,magnum logistics s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"5,229",servicios,0.08,0.03,0.09,0.05,0.04,2023
800237608,central de insumos y materias primas para la industria aliementaria sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,729",comercio,0.08,0.0,0.03,0.01,0.02,2023
890321924,cintas andinas de colombia sa,supersociedades,costa pacífica,valle,cali-valle,"2,229",manufactura,0.08,0.0,0.06,0.03,0.02,2023
811027681,urbaniza sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,111",construcción,0.08,0.0,0.04,0.03,0.01,2023
900576569,supermercado betel cucuta s.a.s.,supersociedades,centro - oriente,norte de santander,cucuta-norte de santander,"4,711",comercio,0.08,0.0,0.02,0.01,0.01,2023
900382906,safrenos rangel sas,supersociedades,centro - oriente,santander,bucaramanga-santander,"4,530",comercio,0.08,0.0,0.05,0.02,0.02,2023
802023750,work service sas,supersociedades,costa atlántica,atlantico,barranquilla-atlantico,"7,820",servicios,0.08,0.0,0.01,0.01,0.0,2023
900408220,nueva clinica sagrado corazon s.a.s,supersalud,antioquia,antioquia,medellin-antioquia,"8,610",servicios,0.08,0.0,0.06,0.03,0.02,2023
900397057,danone baby nutrition colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,631",comercio,0.08,0.0,0.07,0.04,0.03,2023
811029132,adh papeles adhesivos sas,supersociedades,antioquia,antioquia,medellin-antioquia,"4,669",comercio,0.08,0.0,0.03,0.02,0.01,2023
900888903,construcsion s.a.s.,supersociedades,costa atlántica,bolivar,cartagena-bolivar,"7,112",servicios,0.08,0.0,0.03,0.01,0.01,2023
900188396,tigre colombia sas,supersociedades,bogotá - cundinamarca,cundinamarca,cota-cundinamarca-cundinamarca,"2,229",manufactura,0.08,-0.02,0.11,0.08,0.03,2023
900723350,mina sarco s.a.s.,supersociedades,costa atlántica,bolivar,santa-rosa-del-sur-bolivar-bolivar,"4,662",comercio,0.08,0.02,0.03,0.01,0.02,2023
